Date	GapSales
Apr-06	3441
Jul-06	3714
Oct-06	3851
Jan-07	4919
Apr-07	3549
Jul-07	3685
Oct-07	3854
Jan-08	4675
Apr-08	3384
Jul-08	3499
Oct-08	3561
Jan-09	4082
Apr-09	3127
Jul-09	3245
Oct-09	3589
Jan-10	4236
Apr-10	3329
Jul-10	3317
Oct-10	3654
Jan-11	4364
Apr-11	3295
Jul-11	3386
Oct-11	3585
Jan-12	4283
Apr-12	3487
Jul-12	3575
Oct-12	3864
Jan-13	4725
Apr-13	3729
Jul-13	3868
Oct-13	3976
Jan-14	4575
Apr-14	3774
Jul-14	3981
Oct-14	3972
Jan-15	4708
Apr-15	3657
Jul-15	3898
Oct-15	3857
Jan-16	4385
Apr-16	3438
Jul-16	3851
Oct-16	3798
Jan-17	4429
