Date,Sales
2-Jan,6910
2-Feb,6959
2-Mar,7268
2-Apr,7023
2-May,7555
2-Jun,7021
2-Jul,7297
2-Aug,7558
2-Sep,6945
2-Oct,7464
2-Nov,7138
2-Dec,7355
3-Jan,6854
3-Feb,6699
3-Mar,7324
3-Apr,7514
3-May,7898
3-Jun,7814
3-Jul,8049
3-Aug,8322
3-Sep,7730
3-Oct,8049
3-Nov,7449
3-Dec,7774
4-Jan,6998
4-Feb,7275
4-Mar,8177
4-Apr,8143
4-May,8364
4-Jun,8292
4-Jul,8689
4-Aug,8661
4-Sep,8080
4-Oct,8264
4-Nov,7822
4-Dec,8352
5-Jan,7507
5-Feb,7341
5-Mar,8243
5-Apr,8269
5-May,8615
5-Jun,8549
5-Jul,8902
5-Aug,9035
5-Sep,8271
5-Oct,8328
5-Nov,7987
5-Dec,8383
6-Jan,7532
6-Feb,7943
6-Mar,8685
6-Apr,8502
6-May,8977
6-Jun,8716
6-Jul,8978
6-Aug,9548
6-Sep,8675
6-Oct,9032
6-Nov,9005
6-Dec,8921
7-Jan,8688
7-Feb,8640
7-Mar,9592
7-Apr,9332
7-May,9976
7-Jun,9460
7-Jul,10071
7-Aug,10517
7-Sep,9539
7-Oct,9850
7-Nov,9227
7-Dec,9699
8-Jan,9147
8-Feb,9114
8-Mar,9972
8-Apr,9825
8-May,10423
8-Jun,10203
8-Jul,10458
8-Aug,10541
8-Sep,9844
8-Oct,10455
8-Nov,9715
8-Dec,10338
9-Jan,9583
9-Feb,9515
9-Mar,10385
9-Apr,10571
9-May,10792
9-Jun,10553
9-Jul,11083
9-Aug,10939
9-Sep,10297
9-Oct,11056
9-Nov,10229
9-Dec,10703
10-Jan,10092
10-Feb,10532
10-Mar,11464
10-Apr,11240
10-May,11393
10-Jun,11332
10-Jul,11752
10-Aug,11581
10-Sep,11257
10-Oct,11447
10-Nov,10742
10-Dec,11372
11-Jan,10726
11-Feb,10691
11-Mar,11919
11-Apr,11312
11-May,12002
11-Jun,12191
11-Jul,12374
11-Aug,12797
11-Sep,11292
11-Oct,11523
11-Nov,11259
11-Dec,12596
12-Jan,11520
12-Feb,11414
12-Mar,12696
12-Apr,12140
12-May,12857
12-Jun,12685
12-Jul,12873
12-Aug,13357
12-Sep,11743
12-Oct,12129
12-Nov,12003
12-Dec,12794
13-Jan,11811
13-Feb,11523
13-Mar,12957
13-Apr,12423
13-May,13741
13-Jun,13250
13-Jul,13673
13-Aug,14329
13-Sep,12465
13-Oct,13026
13-Nov,12606
13-Dec,13281
14-Jan,12953
14-Feb,12926
14-Mar,13709
14-Apr,13324
14-May,14042
14-Jun,13669
14-Jul,14572
14-Aug,14149
14-Sep,13268
14-Oct,13918
14-Nov,12992
14-Dec,14312
15-Jan,13202
15-Feb,13260
15-Mar,14359
15-Apr,14368
15-May,14687
15-Jun,14445
15-Jul,15142
15-Aug,14905
15-Sep,13982
15-Oct,14575
15-Nov,13838
15-Dec,15478
