Date,CS
Mar-96,407.6
Jun-96,431.5
Sep-96,441.6
Dec-96,306.2
Mar-97,328.7
Jun-97,381.3
Sep-97,422.6
Dec-97,369.4
Mar-98,456.3
Jun-98,624.3
Sep-98,557.5
Dec-98,436.7
Mar-99,485
Jun-99,564.3
Sep-99,538.3
Dec-99,412.5
Mar-00,555
Jun-00,682.7
Sep-00,581.3
Dec-00,509.7
Mar-01,662.7
Jun-01,591.1
Sep-01,616.9
Dec-01,529.7
Mar-02,641.2
Jun-02,632.7
Sep-02,576.6
Dec-02,475
Mar-03,542.8
Jun-03,558.9
Sep-03,581.7
Dec-03,537.8
Mar-04,588.1
Jun-04,626.5
Sep-04,590.9
Dec-04,580.1
Mar-05,589.2
Jun-05,643.2
Sep-05,593.9
Dec-05,612.2
Mar-06,586.1
Jun-06,699.4
Sep-06,734.4
Dec-06,753.8
Mar-07,691.6
Jun-07,793.4
Sep-07,864.9
Dec-07,840.8
Mar-08,653.9
Jun-08,754.8
Sep-08,883.6
Dec-08,797.7
Mar-09,722.2
Jun-09,788.6
Sep-09,769.9
Dec-09,725.5
Mar-10,629.3
Jun-10,738.6
Sep-10,732
Dec-10,598.8
Mar-11,603.9
Jun-11,653.6
Sep-11,606.1
Dec-11,539.7
Mar-12,461.3
Jun-12,548
Sep-12,548.4
Dec-12,480.4
Mar-13,476.6
Jun-13,528.2
Sep-13,480.4
Dec-13,452.6
Mar-14,407.2
Jun-14,498.5
Sep-14,474.3
Dec-14,403.7
Mar-15,418.6
Jun-15,470.2
Sep-15,470.7
Dec-15,375.7
Mar-16,371.1
Jun-16,425.5
Sep-16,397.3
Dec-16,313.5
