Month,Mean Usage
Jan-93,17074.66062
Feb-93,17822.50818
Mar-93,16900.09812
Apr-93,15417.27847
May-93,14986.03091
Jun-93,16929.03542
Jul-93,18694.29099
Aug-93,18332.27554
Sep-93,16468.28194
Oct-93,15474.3125
Nov-93,16028.48403
Dec-93,17155.07325
Jan-94,18404.1754
Feb-94,17884.68527
Mar-94,16754.90054
Apr-94,15277.74514
May-94,15040.0168
Jun-94,17836.91319
Jul-94,19349.1418
Aug-94,17734.60484
Sep-94,16015.75347
Oct-94,15382.20027
Nov-94,15941.84722
Dec-94,16833.41935
Jan-95,17056.81384
Feb-95,17695.12128
Mar-95,16351.09207
Apr-95,15495.86597
May-95,15291.25806
Jun-95,17252.92986
Jul-95,19154.11895
Aug-95,19166.08401
Sep-95,16178.87431
Oct-95,15619.46371
Nov-95,16434.09028
Dec-95,17627.00067
Jan-96,17932.42608
Feb-96,17669.17241
Mar-96,16816.21573
Apr-96,15702.85208
May-96,15478.36089
Jun-96,17209.70625
Jul-96,17770.67003
Aug-96,18314.77285
Sep-96,16906.52847
Oct-96,15745.02151
Nov-96,16486.24444
Dec-96,16880.53159
Jan-97,17860.96774
Feb-97,17030.63021
Mar-97,16586.04503
Apr-97,15712.44306
May-97,15236.64583
Jun-97,17608.56181
Jul-97,18964.37164
Aug-97,18145.33266
Sep-97,16788.25486
Oct-97,16103.78831
Nov-97,16499.29861
Dec-97,17389.77151
Jan-98,17056.3414
Feb-98,17036.37202
Mar-98,16833.40457
Apr-98,15739.52083
May-98,16059.22581
Jun-98,17779.275
Jul-98,19460.52823
Aug-98,19705.33333
Sep-98,17751.82917
Oct-98,16035.25941
Nov-98,16490.67083
Dec-98,17349.92876
Jan-99,18014.58333
Feb-99,17472.07589
Mar-99,17188.12769
Apr-99,15811.44306
May-99,15913.57124
Jun-99,19271.74722
Jul-99,21652.70161
Aug-99,19652.56586
Sep-99,18180.0125
Oct-99,16478.46102
Nov-99,16739.42917
Dec-99,17742.58065
Jan-00,18485.60349
Feb-00,17955.94253
Mar-00,16834.3078
Apr-00,16218.50417
May-00,16656.61962
Jun-00,18980.75972
Jul-00,18745.26344
Aug-00,19480.04435
Sep-00,18018.59861
Oct-00,16607.91398
Nov-00,17231.95417
Dec-00,18737.36828
Jan-01,18439.91263
Feb-01,18069.87946
Mar-01,17608.38306
Apr-01,16140.74167
May-01,16556.54839
Jun-01,19185.78333
Jul-01,19157.38441
Aug-01,21327.07796
Sep-01,17540.95139
Oct-01,16663.80645
Nov-01,16624.79583
Dec-01,17267.97849
Jan-02,17808.0914
Feb-02,17404.08482
Mar-02,16809.12769
Apr-02,16561.16667
May-02,16168.08871
Jun-02,18691.45833
Jul-02,21372.06317
Aug-02,21300.47043
Sep-02,18505.90278
Oct-02,17157.59946
Nov-02,17201.30556
Dec-02,18362.16129
Jan-03,19065.89516
Feb-03,18741.53869
Mar-03,17400.20296
Apr-03,16358.725
May-03,15929.05242
Jun-03,17999.86944
Jul-03,20717.02688
Aug-03,20730.96371
Sep-03,18038.56806
Oct-03,16531.88441
Nov-03,16758.725
Dec-03,18137.05645
Jan-04,19333.3629
Feb-04,18313.18534
Mar-04,17351.51613
Apr-04,16384.22222
May-04,17001.83871
Jun-04,18798.57361
Jul-04,20040.84005
Aug-04,20222.34946
Sep-04,18643.91528
Oct-04,16775.22581
Nov-04,17308.71944
Dec-04,18617.75
