Date	JS	DPI
Feb-10	5372	11041.46667
May-10	5841	11197.63333
Aug-10	5311	11286.63333
Nov-10	9385	11425.73333
Feb-11	5823	11652.23333
May-11	6911	11751.63333
Aug-11	6243	11876.66667
Nov-11	10073	11924.93333
Feb-12	6337	12189.96667
May-12	6772	12321.33333
Aug-12	6102	12355.43333
Nov-12	10651	12748.13333
Feb-13	6484	12259.26667
May-13	7106	12335.9
Aug-13	6175	12453.83333
Nov-13	10686	12534.33333
Feb-14	6681	12735.83333
May-14	7397	12962.43333
Aug-14	6548	13127.43333
Nov-14	10586	13265.26667
Feb-15	6617	13276.5
May-15	7477	13464.7
Aug-15	6529	13611.7
Nov-15	10882	13726.36667
