Time period	Date	JS	DPI	JSSA
1	10-Feb	5372	11041.46667	6313.56841
2	10-May	5841	11197.63333	6202.697984
3	10-Aug	5311	11286.63333	6438.054366
4	10-Nov	9385	11425.73333	6788.385268
5	11-Feb	5823	11652.23333	6843.616689
6	11-May	6911	11751.63333	7338.956646
7	11-Aug	6243	11876.66667	7567.835325
8	11-Nov	10073	11924.93333	7286.031412
9	12-Feb	6337	12189.96667	7447.707188
10	12-May	6772	12321.33333	7191.349212
11	12-Aug	6102	12355.43333	7396.913527
12	12-Nov	10651	12748.13333	7704.112039
13	13-Feb	6484	12259.26667	7620.47237
14	13-May	7106	12335.9	7546.031822
15	13-Aug	6175	12453.83333	7485.404954
16	13-Nov	10686	12534.33333	7729.42834
17	14-Feb	6681	12735.83333	7852.001219
18	14-May	7397	12962.43333	7855.051702
19	14-Aug	6548	13127.43333	7937.55978
20	14-Nov	10586	13265.26667	7657.096052
21	15-Feb	6617	13276.5	7776.783725
22	15-May	7477	13464.7	7940.00562
23	15-Aug	6529	13611.7	7914.527765
24	15-Nov	10882	13726.36667	7871.199625
