Employee	EducLev	JobGrade	Age	YrsPrior	PCJob	Gender	YrsExper	Salary
1	3	1	26	1	No	Male	3	32000
2	1	1	38	1	No	Female	14	39100
3	1	1	35	0	No	Female	12	33200
4	2	1	40	7	No	Female	8	30600
5	3	1	28	0	No	Male	3	29000
6	3	1	24	0	No	Female	3	30500
7	3	1	27	0	No	Female	4	30000
8	3	1	33	2	No	Male	8	27000
9	1	1	62	0	No	Female	4	34000
10	3	1	31	0	No	Female	9	29500
11	3	1	34	2	No	Female	9	26800
12	2	1	37	8	No	Female	8	31300
13	2	1	37	0	No	Female	9	31200
14	2	1	58	6	No	Female	10	34700
15	3	1	33	0	No	Female	4	30000
16	3	1	27	0	No	Female	3	31000
17	3	1	30	0	No	Female	6	27000
18	2	1	37	9	No	Female	8	29600
19	3	1	44	6	No	Female	5	32600
20	2	1	29	3	No	Female	4	29600
21	3	1	36	2	No	Female	4	29500
22	2	1	28	3	No	Male	3	31000
23	1	1	45	0	No	Female	5	28500
24	2	1	33	4	No	Male	3	26700
25	3	1	24	1	No	Male	3	30750
26	3	1	27	1	No	Male	3	29500
27	2	1	60	6	No	Female	16	42200
28	1	1	48	0	No	Female	13	37600
29	1	1	40	6	No	Female	12	34000
30	2	1	33	7	No	Female	4	33000
31	1	1	35	4	No	Female	7	28760
32	1	1	44	0	No	Female	11	35400
33	3	1	43	8	No	Male	3	31000
34	2	1	46	2	No	Female	18	38800
35	2	1	42	0	No	Female	14	34300
36	1	1	47	0	No	Female	19	35000
37	3	1	25	2	Yes	Female	3	34600
38	2	1	30	4	No	Female	2	28500
39	1	1	40	0	No	Female	11	29500
40	3	1	26	2	No	Male	3	30500
41	3	1	32	1	No	Female	5	34200
42	1	1	51	0	No	Female	15	43600
43	5	1	35	0	Yes	Female	7	33500
44	3	1	37	1	No	Female	12	33000
45	1	1	44	0	No	Female	18	45300
46	1	1	53	3	No	Male	17	38800
47	1	1	40	0	No	Female	10	29900
48	3	1	51	10	No	Male	5	31200
49	1	1	42	0	No	Female	15	34000
50	2	1	53	0	No	Female	2	30450
51	1	1	58	3	No	Male	3	35500
52	1	1	44	10	Yes	Female	4	34000
53	2	1	31	0	No	Female	7	29100
54	1	1	64	0	No	Female	8	29650
55	3	1	47	1	No	Female	15	29200
56	3	1	37	0	Yes	Female	9	29800
57	2	1	46	0	No	Female	16	33500
58	1	1	55	0	No	Female	8	34000
59	1	1	39	0	No	Female	9	29600
60	3	1	51	0	No	Female	18	34000
61	2	2	37	8	No	Female	3	37250
62	2	2	30	3	No	Male	6	33000
63	3	2	26	0	No	Female	4	28600
64	5	2	41	1	Yes	Female	5	36000
65	3	2	34	4	Yes	Female	4	37300
66	2	2	57	4	No	Male	7	29900
67	1	2	53	8	No	Female	11	31500
68	3	2	32	4	Yes	Female	5	41400
69	1	2	44	5	No	Female	17	32740
70	3	2	25	1	No	Male	3	33500
