Time,Month,Year,Liquor.Sales
1,1,1980,480
2,2,1980,467
3,3,1980,514
4,4,1980,505
5,5,1980,534
6,6,1980,546
7,7,1980,539
8,8,1980,541
9,9,1980,551
10,10,1980,537
11,11,1980,584
12,12,1980,854
13,1,1981,522
14,2,1981,506
15,3,1981,558
16,4,1981,538
17,5,1981,605
18,6,1981,583
19,7,1981,607
20,8,1981,624
21,9,1981,570
22,10,1981,609
23,11,1981,675
24,12,1981,861
25,1,1982,605
26,2,1982,537
27,3,1982,575
28,4,1982,588
29,5,1982,656
30,6,1982,623
31,7,1982,661
32,8,1982,668
33,9,1982,603
34,10,1982,639
35,11,1982,669
36,12,1982,915
37,1,1983,643
38,2,1983,563
39,3,1983,616
40,4,1983,645
41,5,1983,703
42,6,1983,684
43,7,1983,731
44,8,1983,722
45,9,1983,678
46,10,1983,713
47,11,1983,725
48,12,1983,989
49,1,1984,687
50,2,1984,629
51,3,1984,687
52,4,1984,706
53,5,1984,754
54,6,1984,774
55,7,1984,825
56,8,1984,755
57,9,1984,751
58,10,1984,783
59,11,1984,804
60,12,1984,1139
61,1,1985,711
62,2,1985,693
63,3,1985,790
64,4,1985,754
65,5,1985,799
66,6,1985,824
67,7,1985,854
68,8,1985,810
69,9,1985,798
70,10,1985,807
71,11,1985,832
72,12,1985,1142
73,1,1986,740
74,2,1986,713
75,3,1986,791
76,4,1986,768
77,5,1986,846
78,6,1986,884
79,7,1986,886
80,8,1986,878
81,9,1986,813
82,10,1986,840
83,11,1986,884
84,12,1986,1245
85,1,1987,796
86,2,1987,750
87,3,1987,834
88,4,1987,838
89,5,1987,902
90,6,1987,895
91,7,1987,962
92,8,1987,990
93,9,1987,882
94,10,1987,936
95,11,1987,997
96,12,1987,1305
97,1,1988,866
98,2,1988,805
99,3,1988,905
100,4,1988,873
101,5,1988,1024
102,6,1988,985
103,7,1988,1049
104,8,1988,1034
105,9,1988,951
106,10,1988,1010
107,11,1988,1016
108,12,1988,1378
109,1,1989,915
110,2,1989,854
111,3,1989,922
112,4,1989,965
113,5,1989,1014
114,6,1989,1040
115,7,1989,1137
116,8,1989,1026
117,9,1989,992
118,10,1989,1052
119,11,1989,1056
120,12,1989,1469
121,1,1990,916
122,2,1990,934
123,3,1990,987
124,4,1990,1018
125,5,1990,1048
126,6,1990,1086
127,7,1990,1144
128,8,1990,1077
129,9,1990,1036
130,10,1990,1076
131,11,1990,1114
132,12,1990,1595
133,1,1991,949
134,2,1991,930
135,3,1991,1045
136,4,1991,1015
137,5,1991,1091
138,6,1991,1142
139,7,1991,1182
140,8,1991,1161
141,9,1991,1145
142,10,1991,1119
143,11,1991,1189
144,12,1991,1662
145,1,1992,1048
146,2,1992,1019
147,3,1992,1129
148,4,1992,1092
149,5,1992,1176
150,6,1992,1297
151,7,1992,1322
152,8,1992,1330
153,9,1992,1263
154,10,1992,1250
155,11,1992,1341
156,12,1992,1927
157,1,1993,1271
158,2,1993,1238
159,3,1993,1283
160,4,1993,1283
161,5,1993,1413
162,6,1993,1371
163,7,1993,1425
164,8,1993,1453
165,9,1993,1311
166,10,1993,1387
167,11,1993,1454
168,12,1993,1993
169,1,1994,1328
170,2,1994,1250
171,3,1994,1308
172,4,1994,1350
173,5,1994,1455
174,6,1994,1442
175,7,1994,1530
176,8,1994,1505
177,9,1994,1421
178,10,1994,1485
179,11,1994,1465
180,12,1994,2163
181,1,1995,1361
182,2,1995,1284
183,3,1995,1392
184,4,1995,1442
185,5,1995,1504
186,6,1995,1488
187,7,1995,1606
188,8,1995,1488
189,9,1995,1442
190,10,1995,1495
191,11,1995,1509
