Date,GapSales
6-Apr,3441
6-Jul,3714
6-Oct,3851
7-Jan,4919
7-Apr,3549
7-Jul,3685
7-Oct,3854
8-Jan,4675
8-Apr,3384
8-Jul,3499
8-Oct,3561
9-Jan,4082
9-Apr,3127
9-Jul,3245
9-Oct,3589
10-Jan,4236
10-Apr,3329
10-Jul,3317
10-Oct,3654
11-Jan,4364
11-Apr,3295
11-Jul,3386
11-Oct,3585
12-Jan,4283
12-Apr,3487
12-Jul,3575
12-Oct,3864
13-Jan,4725
13-Apr,3729
13-Jul,3868
13-Oct,3976
14-Jan,4575
14-Apr,3774
14-Jul,3981
14-Oct,3972
15-Jan,4708
15-Apr,3657
15-Jul,3898
15-Oct,3857
16-Jan,4385
16-Apr,3438
16-Jul,3851
16-Oct,3798
17-Jan,4429
