BiddingResult	Price	Waste	Day	Cert
1	41	57	52	N
1	53	68	59	Y
1	54	44	33	N
1	47	63	44	N
1	57	47	52	N
1	51	44	52	N
1	42	50	59	N
1	45	34	46	N
1	54	63	57	N
1	52	57	55	N
1	51	60	46	N
0	51	57	65	N
1	71	73	60	N
0	57	54	63	N
1	50	45	57	N
1	43	42	49	N
1	51	47	52	N
1	60	57	57	N
0	62	68	65	N
1	57	55	39	N
1	35	63	49	N
0	75	63	63	N
1	45	50	40	N
1	57	60	52	N
1	45	37	44	N
1	46	34	37	N
0	66	65	65	N
1	57	47	57	N
1	49	44	38	N
1	49	52	44	N
1	57	42	31	N
1	64	76	52	N
0	63	65	67	N
1	57	42	41	N
1	50	52	59	N
0	58	60	65	N
1	75	68	54	N
0	68	65	62	N
1	44	47	31	N
1	40	39	31	N
1	41	47	47	N
1	62	55	59	N
1	57	52	54	N
1	43	42	41	N
0	48	65	65	N
1	63	55	59	N
1	39	50	40	N
1	70	65	59	N
1	63	47	59	N
1	59	57	54	N
0	61	53	61	N
1	38	39	33	N
1	61	44	44	N
1	49	63	59	N
0	73	73	62	N
1	44	39	39	N
1	42	37	37	N
1	39	42	39	N
1	55	63	57	N
1	52	48	49	N
1	45	50	46	N
0	61	47	62	N
1	39	44	44	N
1	41	34	33	N
1	50	50	42	N
1	40	44	41	N
1	60	60	54	N
1	47	47	39	N
1	59	63	43	N
1	49	50	33	N
1	46	44	44	N
1	58	60	54	N
0	71	73	67	N
1	58	68	59	N
1	46	55	45	N
1	43	47	40	N
0	54	55	61	N
1	56	68	59	N
1	46	31	36	N
1	54	47	41	N
1	57	63	59	N
1	54	36	49	N
1	71	68	59	N
0	48	63	65	N
1	40	55	41	N
0	64	55	62	N
1	51	52	41	N
1	39	34	49	N
1	40	50	31	N
1	61	55	49	N
0	66	52	62	N
1	49	63	49	N
0	65	68	62	Y
1	52	39	44	Y
1	46	44	44	Y
0	61	50	62	Y
0	72	71	65	Y
0	71	63	65	Y
1	40	34	44	Y
0	69	63	63	Y
1	64	68	60	Y
1	56	47	59	Y
1	49	47	46	Y
1	54	63	52	Y
1	53	52	59	Y
1	66	55	54	Y
0	67	60	62	Y
1	40	35	35	Y
1	46	47	54	Y
0	69	71	65	Y
1	40	57	52	Y
1	41	44	50	Y
1	57	65	59	Y
0	58	68	65	Y
0	57	73	61	Y
1	37	36	44	Y
1	55	43	54	Y
0	62	73	67	Y
1	64	52	57	Y
1	40	41	47	Y
1	50	60	54	Y
1	46	50	52	Y
1	53	50	52	Y
1	52	47	46	Y
0	45	47	62	Y
1	56	55	57	Y
1	45	50	41	Y
1	54	39	53	Y
1	56	50	49	Y
1	41	34	35	Y
1	54	57	59	Y
0	72	57	65	Y
0	56	68	62	Y
1	47	42	54	Y
1	49	61	59	Y
0	60	76	63	Y
1	54	47	59	Y
1	55	46	52	Y
1	33	39	41	Y
1	49	52	49	Y
1	43	28	46	Y
1	50	42	54	Y
1	52	47	42	Y
1	48	47	57	Y
1	58	52	59	Y
1	43	47	52	Y
0	41	50	62	Y
1	43	44	52	Y
1	46	47	41	Y
1	44	45	55	Y
1	43	47	37	Y
1	61	65	54	Y
1	40	43	57	Y
1	49	47	54	Y
0	56	57	62	Y
1	61	68	59	Y
1	50	52	55	Y
1	51	42	57	Y
1	42	42	39	Y
0	67	66	67	Y
0	53	47	62	Y
1	50	57	50	Y
0	51	47	61	Y
0	72	57	62	Y
1	48	52	59	Y
1	40	44	44	Y
1	53	50	59	Y
1	39	39	54	Y
0	63	57	62	Y
1	51	57	60	Y
1	45	42	57	Y
1	39	47	46	Y
1	42	42	36	Y
1	62	60	59	Y
1	44	44	49	Y
1	65	63	60	Y
0	63	65	67	Y
1	54	39	54	Y
1	45	50	52	Y
0	60	52	65	Y
0	49	60	62	Y
1	48	44	49	Y
0	57	52	67	Y
0	55	55	65	Y
0	66	50	67	Y
0	64	65	65	Y
1	55	52	54	Y
1	42	47	44	Y
0	56	63	62	Y
1	53	50	46	Y
1	41	42	54	Y
1	42	36	57	Y
1	53	50	52	Y
1	42	41	59	Y
0	60	47	65	Y
1	52	55	59	Y
1	38	42	46	Y
1	57	57	41	Y
0	58	55	62	Y
0	65	63	65	Y
