HouseNo	Income	LotSize	MowerOwner																	
1	60	18.4	Owner																	
2	85.5	16.8	Owner																	
3	64.8	21.6	Owner																	
4	61.5	20.8	Owner																	
5	87	23.6	Owner																	
6	110.1	19.2	Owner																	
7	108	17.6	Owner																	
8	82.8	22.4	Owner																	
9	69	20	Owner																	
10	93	20.8	Owner																	
11	51	22	Owner																	
12	81	20	Owner																	
13	75	19.6	Non-Owner																	
14	52.8	20.8	Non-Owner																	
15	64.8	17.2	Non-Owner																	
16	43.2	20.4	Non-Owner																	
17	84	17.6	Non-Owner																	
18	49.2	17.6	Non-Owner																	
19	59.4	16	Non-Owner																	
20	66	18.4	Non-Owner																	
21	47.4	16.4	Non-Owner																	
22	33	18.8	Non-Owner																	
23	51	14	Non-Owner																	
24	63	14.8	Non-Owner																	
